"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"T2214",NA,NA,"113","119",126,133
"T2215",NA,NA,"123","131",141,158
"T2216",NA,NA,"117","123",133,153
"T2217",NA,NA,"115","123",131,133
"T2218",NA,NA,"145","163",160,186
"T2219",NA,NA,"131","136",146,151
"T2220",NA,NA,"123","131",133,146
"T2221",NA,NA,"131","143",146,179
"T2301",NA,NA,"115","121",131,146
"T2302",NA,NA,"155","165",188,202
"T2303",NA,NA,"114","123",132,141
"T2304",NA,NA,"136","149",160,165
"T2305",NA,NA,"141","149",160,165
"T2306",NA,NA,"120","139",133,159
"T2307",NA,NA,"115","121",133,141
"T2308",NA,NA,"131","139",149,160
"T2309",NA,NA,"113","121",132,139
"T2310",NA,NA,"107","113",126,132
"T2311",NA,NA,"116","133",127,153
"T2312",NA,NA,"122","132",139,172
"T2313",NA,NA,"155","166",183,199
"T2314",NA,NA,"118","131",133,151
"T2315",NA,NA,"126","132",143,151
"T2316",NA,NA,"111","114",127,133
"T2317",NA,NA,"141","146",158,172
"T2318",NA,NA,"141","155",158,172
"T2319",NA,NA,"155","163",169,193
"T2320",NA,NA,"117","136",139,153
"T2321",NA,NA,"155","163",166,183
"T2401",NA,NA,"115","124",131,140
"T2402",NA,NA,"117","126",131,141
"T2403",NA,NA,"122","129",139,144
"T2404",NA,NA,NA,NA,NA,NA
"T2405",NA,NA,"132","158",146,193
"T2406",NA,NA,"123","133",141,151
"T2407",NA,NA,"144","155",158,172
"T2408",NA,NA,"117","129",139,151
"T2409",NA,NA,"123","132",139,153
"T2410",NA,NA,"114","121",131,139
"T2411",NA,NA,"115","124",133,153
"T2412",NA,NA,"116","126",133,144
"T2413",NA,NA,"123","131",138,149
"T2414",NA,NA,"115","131",133,144
"T2415",NA,NA,"129","139",144,153
"T2416",NA,NA,"121","131",139,149
"T2417",NA,NA,"186","190",221,229
"T2418",NA,NA,"121","129",141,151
"T2419",NA,NA,"143","155",166,181
"T2420",NA,NA,"121","131",138,160
"T2421",NA,NA,"139","148",160,183
"T2501",NA,NA,"120","129",132,144
"T2502",NA,NA,"115","121",133,139
"T2503",NA,NA,"132","138",144,151
"T2504",NA,NA,"122","129",133,141
"T2505",NA,NA,"132","149",146,181
"T2506",NA,NA,"129","136",141,151
"T2507",NA,NA,"176","179",211,218
"T2508",NA,NA,"123","133",138,149
"T2509",NA,NA,"129","145",141,172
"T2510",NA,NA,"136","146",151,160
