"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"N1717",81,94,"170","172",187,192
"N1718",85,90,"160","163",179,182
"N1719",83,91,"171","173",193,194
"N1801",89,94,"152","159",165,170
"N1802",89,92,"155","167",175,182
"N1803",83,93,"158","163",170,177
"N1804",91,94,"163","170",181,191
"N1805",88,93,"180","183",202,204
"N1806",89,97,"169","172",194,198
"N1807",87,93,"152","161",168,172
"N1808",85,91,"181","184",204,207
"N1809",81,90,"177","180",202,206
"N1810",87,103,"177","179",200,204
"N1811",88,92,"155","160",178,180
"N1812",88,90,"157","162",174,179
"N1813",81,91,"175","179",203,206
"N1814",92,101,"171","173",195,198
"N1815",85,90,"152","158",169,172
"N1816",90,94,"152","157",165,170
"N1817",83,103,"189","195",227,232
"N1818",83,89,"175","177",199,203
"N1819",83,90,"177","178",200,204
"N1820",85,97,"168","170",193,199
"N1901",85,91,"165","169",187,191
"N1902",83,91,"171","174",190,195
"N1903",83,94,"200","202",232,237
"N1904",90,90,"168","169",186,189
"N1905",94,95,"163","167",188,191
"N1906",92,95,"154","161",165,170
"N1907",95,101,"164","168",194,196
"N1908",83,91,"171","175",193,196
"N1909",85,91,"176","181",200,204
"N1910",90,93,"163","170",183,189
"N1911",89,94,"171","173",194,196
"N1912",83,90,"175","177",198,203
"N1913",90,96,"162","167",174,179
"N1914",85,91,"167","169",182,187
"N1915",89,94,"166","169",190,193
"N1916",85,90,"157","163",172,179
"N1917",85,91,"174","175",196,200
"N1918",88,90,"174","176",198,200
"N1919",83,90,"156","163",172,180
"N2001",85,91,"171","173",191,195
"N2002",90,97,"189","192",227,232
"N2003",81,90,"176","180",193,199
"N2004",85,90,"166","167",183,189
"N2005",87,91,"152","157",171,175
"N2006",87,91,"170","171",192,194
"N2007",85,97,"190","193",228,232
"N2008",83,91,"169","171",191,194
"N2009",90,93,"148","158",165,170
"N2010",89,94,"165","170",192,194
"N2011",85,92,"171","174",190,194
"N2012",88,92,"159","168",180,187
"N2013",90,96,"171","173",196,200
"N2014",83,97,"159","170",174,191
"N2015",88,98,"162","165",178,181
"N2016",88,94,"167","170",188,191
"N2017",89,97,"168","170",188,190
"N2018",91,105,"176","178",200,204
"N2019",85,91,"170","172",192,195
"N2020",90,93,"170","171",192,194
"N2101",88,91,"178","186",204,207
"N2102",87,91,"158","164",178,181
"N2103",81,94,"199","202",232,237
"N2104",88,92,"170","177",193,196
"N2105",90,92,"166","167",188,190
"N2106",88,90,"166","170",190,197
